Timestamp,EPC,Frequency,PhaseAngle,RSSI,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
10.785073,000000000000000000000588,902.750000,-5.908894,-55.500000,-5.908894,5.675729,-5.762117,5.664293
20.964451,000000000000000000000588,902.750000,-0.515418,-54.000000,-6.798603,4.786020,-7.205858,4.220552
31.138277,000000000000000000000588,902.750000,-1.607612,-53.500000,-7.890797,3.693826,-8.427759,2.998651
41.308825,000000000000000000000588,902.750000,-2.773437,-52.500000,-9.056623,2.528000,-9.433868,1.992542
51.463756,000000000000000000000588,902.750000,-3.859496,-50.500000,-10.142681,1.441942,-10.229036,1.197374
61.629187,000000000000000000000588,902.750000,-4.466952,-47.500000,-10.750137,0.834486,-10.820938,0.605472
71.785271,000000000000000000000588,902.750000,-4.951690,-46.000000,-11.234875,0.349748,-11.213849,0.212561
81.944826,000000000000000000000588,902.750000,-5.240078,-46.000000,-11.523264,0.061359,-11.413904,0.012506
92.103331,000000000000000000000588,902.750000,-5.289166,-46.500000,-11.572351,0.012272,-11.426410,0.000000
102.276388,000000000000000000000588,902.750000,-5.184855,-47.000000,-11.468040,0.116583,-11.256493,0.169917
112.449780,000000000000000000000588,902.750000,-4.921010,-48.500000,-11.204196,0.380427,-10.909476,0.516934
122.605514,000000000000000000000588,902.750000,-4.325826,-49.500000,-10.609011,0.975612,-10.391896,1.034514
132.771635,000000000000000000000588,902.750000,-3.638602,-51.000000,-9.921788,1.662835,-9.707983,1.718426
142.917115,000000000000000000000588,902.750000,-2.963651,-55.000000,-9.246836,2.337787,-8.865531,2.560879
153.075537,000000000000000000000588,902.750000,-1.705787,-58.500000,-7.988972,3.595651,-7.867393,3.559017
163.235614,000000000000000000000588,902.750000,-0.177942,-59.500000,-6.461127,5.123496,-6.719809,4.706601
173.405711,000000000000000000000588,902.750000,-4.853515,-60.500000,-4.853515,6.731108,-5.427056,5.999354
183.561254,000000000000000000000588,902.750000,-3.356350,-61.000000,-3.356350,8.228273,-3.997820,7.428590
193.738364,000000000000000000000588,902.750000,-2.073942,-60.000000,-2.073942,9.510681,-2.432360,8.994050
203.923201,000000000000000000000588,902.750000,-0.994020,-61.500000,-0.994020,10.590603,-0.737728,10.688682
214.083145,000000000000000000000588,902.750000,-5.816855,-63.500000,0.466330,12.050953,1.074842,12.501252
