Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
74.314941,588,902.750000,-1.000155,-1.000155,8.952312,-1.618153,8.509875
84.478923,588,902.750000,-2.239612,-2.239612,7.712855,-2.524878,7.603150
94.621383,588,902.750000,-3.522020,-3.522020,6.430447,-3.545469,6.582559
104.758742,588,902.750000,-4.773748,-4.773748,5.178719,-4.633246,5.494782
114.931287,588,902.750000,-6.000933,-6.000933,3.951535,-5.744708,4.383320
125.064381,588,902.750000,-0.834486,-7.117671,2.834796,-6.823773,3.304255
135.208996,588,902.750000,-1.785554,-8.068739,1.883728,-7.828069,2.299959
145.364732,588,902.750000,-2.564816,-8.848001,1.104466,-8.709309,1.418720
155.516983,588,902.750000,-3.196816,-9.480001,0.472466,-9.418057,0.709971
165.673950,588,902.750000,-3.546564,-9.829749,0.122718,-9.906785,0.221243
175.814260,588,902.750000,-3.663146,-9.946331,0.006136,-10.126913,0.001115
185.966620,588,902.750000,-3.479068,-9.762254,0.190214,-10.031261,0.096767
196.114438,588,902.750000,-2.951379,-9.234564,0.717903,-9.571667,0.556362
206.278255,588,902.750000,-2.356194,-8.639380,1.313088,-8.698476,1.429553
216.423109,588,902.750000,-1.466486,-7.749671,2.202796,-7.366873,2.761156
