Timestamp,EPC,Frequency,PhaseAngle,RSSI,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
16.160750,E2806A1600005010EB58E62E,902.750000,-2.810253,-63.000000,-2.810253,6.976545,-2.737557,7.006799
26.328991,E2806A1600005010EB58E62E,902.750000,-3.871768,-60.500000,-3.871768,5.915030,-3.826844,5.917513
36.580511,E2806A1600005010EB58E62E,902.750000,-4.779884,-58.000000,-4.779884,5.006913,-4.844612,4.899744
46.752465,E2806A1600005010EB58E62E,902.750000,-5.700273,-56.500000,-5.700273,4.086525,-5.770905,3.973451
57.029426,E2806A1600005010EB58E62E,902.750000,-0.325204,-55.500000,-6.608389,3.178408,-6.618415,3.125941
67.186126,E2806A1600005010EB58E62E,902.750000,-1.018563,-54.000000,-7.301749,2.485049,-7.365017,2.379339
77.444262,E2806A1600005010EB58E62E,902.750000,-1.761010,-53.000000,-8.044195,1.742602,-8.023473,1.720883
87.618492,E2806A1600005010EB58E62E,902.750000,-2.307107,-53.500000,-8.590292,1.196505,-8.577894,1.166462
97.899803,E2806A1600005010EB58E62E,902.750000,-2.675262,-52.000000,-8.958448,0.828350,-9.034543,0.709813
108.070546,E2806A1600005010EB58E62E,902.750000,-3.080233,-52.500000,-9.363419,0.423379,-9.380051,0.364305
118.304710,E2806A1600005010EB58E62E,902.750000,-3.387030,-52.000000,-9.670215,0.116583,-9.617291,0.127065
128.475378,E2806A1600005010EB58E62E,902.750000,-3.454525,-51.500000,-9.737710,0.049087,-9.739582,0.004774
138.769123,E2806A1600005010EB58E62E,902.750000,-3.503612,-51.500000,-9.786797,0.000000,-9.744356,0.000000
148.944405,E2806A1600005010EB58E62E,902.750000,-3.454525,-51.500000,-9.737710,0.049087,-9.627661,0.116695
159.194660,E2806A1600005010EB58E62E,902.750000,-3.227496,-53.000000,-9.510681,0.276117,-9.384267,0.360089
169.366590,E2806A1600005010EB58E62E,902.750000,-2.767301,-53.500000,-9.050487,0.736311,-9.014129,0.730227
179.633223,E2806A1600005010EB58E62E,902.750000,-2.196660,-55.000000,-8.479846,1.306952,-8.506845,1.237511
189.847560,E2806A1600005010EB58E62E,902.750000,-1.380583,-55.500000,-7.663768,2.123029,-7.865071,1.879285
200.052128,E2806A1600005010EB58E62E,902.750000,-0.607456,-56.000000,-6.890642,2.896156,-7.083615,2.660741
210.261737,E2806A1600005010EB58E62E,902.750000,-6.142059,-57.500000,-6.142059,3.644738,-6.157677,3.586679
220.481946,E2806A1600005010EB58E62E,902.750000,-5.252350,-59.000000,-5.252350,4.534447,-5.082654,4.661702
