Timestamp,EPC,Frequency,PhaseAngle,RSSI,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
12.423578,587,902.750000,-1.736466,-58.500000,-1.736466,6.203418,-1.710792,6.208949
22.578162,587,902.750000,-2.662991,-58.000000,-2.662991,5.276894,-2.782778,5.136964
32.741694,587,902.750000,-3.663146,-57.000000,-3.663146,4.276738,-3.752927,4.166814
42.904055,587,902.750000,-4.516039,-56.000000,-4.516039,3.423845,-4.620534,3.299207
53.087299,587,902.750000,-5.424156,-56.000000,-5.424156,2.515728,-5.387564,2.532177
63.246056,587,902.750000,-6.092972,-55.000000,-6.092972,1.846913,-6.051032,1.868710
73.430167,587,902.750000,-0.374291,-53.500000,-6.657477,1.282408,-6.614559,1.305182
83.629295,587,902.750000,-0.883573,-54.500000,-7.166758,0.773126,-7.077351,0.842390
93.736956,587,902.750000,-1.135146,-54.000000,-7.418331,0.521553,-7.436090,0.483651
103.949523,587,902.750000,-1.454214,-55.500000,-7.737399,0.202485,-7.697927,0.221815
114.087211,587,902.750000,-1.613748,-55.500000,-7.896933,0.042951,-7.858186,0.061556
124.265678,587,902.750000,-1.632156,-55.000000,-7.915341,0.024544,-7.919577,0.000165
134.438603,587,902.750000,-1.601476,-54.500000,-7.884661,0.055223,-7.881683,0.038058
144.612778,587,902.750000,-1.454214,-54.000000,-7.737399,0.202485,-7.744922,0.174820
154.776354,587,902.750000,-1.257864,-54.500000,-7.541050,0.398835,-7.509966,0.409775
164.922174,587,902.750000,-0.822214,-56.000000,-7.105399,0.834486,-7.177771,0.741970
175.126908,587,902.750000,-0.404971,-57.000000,-6.688156,1.251728,-6.745612,1.174130
185.258429,587,902.750000,-6.142059,-58.000000,-6.142059,1.797825,-6.219666,1.700076
195.424487,587,902.750000,-5.608234,-58.500000,-5.608234,2.331651,-5.595272,2.324469
205.596140,587,902.750000,-4.914874,-59.000000,-4.914874,3.025010,-4.874015,3.045726
215.757496,587,902.750000,-4.111069,-59.500000,-4.111069,3.828816,-4.057467,3.862275
