Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
17.969161,000000000000000000000587,902.750000,-1.288544,-1.288544,9.529089,-1.177161,9.599824
28.230396,000000000000000000000587,902.750000,-2.024855,-2.024855,8.792778,-2.133930,8.643055
38.391130,000000000000000000000587,902.750000,-2.932971,-2.932971,7.884661,-3.082530,7.694455
48.614934,000000000000000000000587,902.750000,-3.951535,-3.951535,6.866098,-4.027655,6.749330
58.824415,000000000000000000000587,902.750000,-5.037593,-5.037593,5.780040,-4.951524,5.825462
69.056541,000000000000000000000587,902.750000,-6.086836,-6.086836,4.730797,-5.846842,4.930143
79.287116,000000000000000000000587,902.750000,-0.564505,-6.847690,3.969942,-6.700773,4.076212
89.453241,000000000000000000000587,902.750000,-1.165825,-7.449011,3.368622,-7.497956,3.279029
99.664678,000000000000000000000587,902.750000,-1.761010,-8.044195,2.773437,-8.236603,2.540382
109.917717,000000000000000000000587,902.750000,-2.577088,-8.860273,1.957359,-8.905017,1.871968
120.098873,000000000000000000000587,902.750000,-3.270447,-9.553632,1.264000,-9.485572,1.291413
130.362693,000000000000000000000587,902.750000,-3.699962,-9.983147,0.834486,-9.976289,0.800696
140.537992,000000000000000000000587,902.750000,-4.025166,-10.308351,0.509282,-10.358527,0.418458
150.754226,000000000000000000000587,902.750000,-4.252195,-10.535380,0.282252,-10.627312,0.149673
160.977501,000000000000000000000587,902.750000,-4.215379,-10.498565,0.319068,-10.770356,0.006629
171.175386,000000000000000000000587,902.750000,-4.509904,-10.793089,0.024544,-10.776985,0.000000
181.418659,000000000000000000000587,902.750000,-4.448544,-10.731730,0.085903,-10.636221,0.140765
191.603079,000000000000000000000587,902.750000,-4.227651,-10.510836,0.306796,-10.339242,0.437743
201.784594,000000000000000000000587,902.750000,-3.607923,-9.891108,0.926524,-9.875341,0.901644
212.021587,000000000000000000000587,902.750000,-2.816389,-9.099574,1.718058,-9.229977,1.547008
222.236851,000000000000000000000587,902.750000,-2.135301,-8.418487,2.399146,-8.396541,2.380444
