Timestamp,EPC,Frequency,PhaseAngle,UnwrappedPhaseAngle,MinZero,RegressedUnwrappedPhase,RegressedShiftedPhase
18.567615,E2806A1600004010EB58E22E,902.750000,-1.282408,-7.565593,13.719924,-7.727975,13.389314
28.830410,E2806A1600004010EB58E22E,902.750000,-2.767301,-9.050487,12.235031,-9.199152,11.918137
39.016919,E2806A1600004010EB58E22E,902.750000,-4.356505,-10.639691,10.645827,-10.570277,10.547011
49.226101,E2806A1600004010EB58E22E,902.750000,-5.810719,-12.093905,9.191613,-11.856216,9.261073
59.455577,E2806A1600004010EB58E22E,902.750000,-0.730175,-13.296545,7.988972,-13.056954,8.060335
69.642156,E2806A1600004010EB58E22E,902.750000,-1.644427,-14.210798,7.074719,-14.166203,6.951086
79.907588,E2806A1600004010EB58E22E,902.750000,-2.577088,-15.143458,6.142059,-15.197612,5.919677
90.041442,E2806A1600004010EB58E22E,902.750000,-3.528156,-16.094526,5.190991,-16.131535,4.985754
100.291142,E2806A1600004010EB58E22E,902.750000,-4.362641,-16.929012,4.356505,-16.991814,4.125475
110.508658,E2806A1600004010EB58E22E,902.750000,-5.086680,-17.653051,3.632467,-17.765834,3.351455
120.710890,E2806A1600004010EB58E22E,902.750000,-5.614370,-18.180740,3.104777,-18.456300,2.660989
130.934343,E2806A1600004010EB58E22E,902.750000,-0.006136,-18.855692,2.429826,-19.066453,2.050836
141.175130,E2806A1600004010EB58E22E,902.750000,-0.601320,-19.450876,1.834641,-19.596445,1.520844
151.352260,E2806A1600004010EB58E22E,902.750000,-1.196505,-20.046061,1.239456,-20.043473,1.073816
161.588067,E2806A1600004010EB58E22E,902.750000,-1.662835,-20.512391,0.773126,-20.413814,0.703475
171.776292,E2806A1600004010EB58E22E,902.750000,-1.975767,-20.825323,0.460194,-20.704332,0.412957
182.061821,E2806A1600004010EB58E22E,902.750000,-2.294835,-21.144391,0.141126,-20.919439,0.197850
192.211924,E2806A1600004010EB58E22E,902.750000,-2.429826,-21.279381,0.006136,-21.055537,0.061752
202.406012,E2806A1600004010EB58E22E,902.750000,-2.337787,-21.187343,0.098175,-21.116898,0.000391
212.647095,E2806A1600004010EB58E22E,902.750000,-2.190525,-21.040080,0.245437,-21.103372,0.013917
222.841143,E2806A1600004010EB58E22E,902.750000,-1.914408,-20.763964,0.521553,-21.015924,0.101364
